left_index,left_side,similarity,right_side,right_index
3010,account acquisition manager,0.8640292,acquisition manager,431
3010,account acquisition manager,0.8456779,assistant acquisition manager,438
6866,account administration assistant,0.86128265,assistant manager account administration,1713
6866,account administration assistant,0.85801744,accountant administration,6794
6775,account administrator,0.86122453,accountant administration,6794
6775,account administrator,0.83554107,manager account administration,1374
5957,account analyst,0.80152655,accountant,6689
6690,account assistant,0.83522964,account assistant senior accountant,6871
6690,account assistant,0.83246136,senior account assistant,6728
6690,account assistant,0.82548696,store assistantaccount assistant,6944
6711,account assistant cashier,0.89699847,accountant cashier,6701
6711,account assistant cashier,0.83926225,senior assistant accountantcashier,6923
6781,account assistant computer operator,0.82108814,computer operator accountant,6729
6781,account assistant computer operator,0.81816727,accountant audit assistant accountant computer operator,6763
6871,account assistant senior accountant,0.8963943,senior account assistant,6728
6871,account assistant senior accountant,0.83522964,account assistant,6690
6871,account assistant senior accountant,0.8320333,senior accountant,6693
6871,account assistant senior accountant,0.81392175,junior account assistant,6756
6936,account assistant trainee,0.85537905,accountant trainee,6720
6698,account associate,0.8532466,senior account associate,6715
6698,account associate,0.8141292,key account associate,6867
6747,account audit assistant,0.80186856,audit assistant account assistantinternal audit,6808
6747,account audit assistant,0.80087477,accountant audit,6881
2568,account audit manager,0.8432995,accountant audit,6881
2568,account audit manager,0.8102401,account auditor,6826
6826,account auditor,0.8525589,accountant audit,6881
6826,account auditor,0.8102401,account audit manager,2568
6811,account cum admin executive,0.8595095,accountant cum administration executive,6939
1285,account delivery manager,0.80927634,assistant delivery manager,1695
6735,account director,0.89278495,senior account director,6913
6735,account director,0.8200884,associate account director,6793
6900,account executiveaccounts executive,0.8404236,executive accountant,6688
6900,account executiveaccounts executive,0.8231276,sale account executive,6783
6900,account executiveaccounts executive,0.8068635,unit executive account,6907
1493,account manager business development,0.86071074,assistant manager business development,681
1493,account manager business development,0.8594821,business development manager,286
1493,account manager business development,0.82395965,senior business development manager,337
1493,account manager business development,0.8061464,deputy manager business development,708
1255,account manager client servicing,0.9027128,manager client servicing,742
1255,account manager client servicing,0.85623485,assistant manager client servicing,1086
